Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,RW,Jumlah Kepala Keluarga,Jumlah Anggota Keluarga
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,1,98,255
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,2,7,21
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,3,26,56
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,4,6,17
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,5,161,379
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,6,95,262
32.73.20,Antapani,32.73.20.1001,Antapani Kulon,7,88,248
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,1,40,64
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,2,16,27
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,3,75,15
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,4,6,37
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,5,11,109
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,6,5,21
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,7,21,41
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,8,132,7
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,9,138,6
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,10,8,180
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,13,9,107
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,14,3,14
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,15,2,47
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,16,6,19
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,17,4,49
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,18,3,144
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,19,14,56
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,20,7,17
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,21,3,379
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,22,141,262
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,23,219,248
32.73.20,Antapani,32.73.20.1004,Antapani Tengah,24,3,64
32.73.20,Antapani,32.73.20.1004,Antapani wetan,9-Jan,2547,27
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,1,31,15
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,2,10,37
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,3,7,109
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,4,14,37
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,5,34,109
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,6,17,21
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,8,27,41
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,9,2,7
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,11,3,6
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,13,52,180
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,14,32,107
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,15,9,14
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,16,40,47
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,17,16,19
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,18,44,49
32.73.20,Antapani,32.73.20.1005,Antapani Kidul,19,50,144
